county_fips,nation,tfr_2021_2024,births_per_year
01003,DEEP SOUTH,1.853,2564
01015,DEEP SOUTH,1.688,1294
01055,GREATER APPALACHIA,1.889,1174
01069,DEEP SOUTH,1.872,1275
01073,DEEP SOUTH,1.66,7886
01081,DEEP SOUTH,1.435,1961
01089,GREATER APPALACHIA,1.597,4506
01097,DEEP SOUTH,1.772,4982
01101,DEEP SOUTH,1.806,2890
01103,GREATER APPALACHIA,1.982,1461
01117,DEEP SOUTH,1.606,2348
01125,DEEP SOUTH,1.375,2506
04003,EL NORTE,1.818,1220
04005,THE FAR WEST,1.204,1284
04013,EL NORTE,1.589,50564
04015,THE FAR WEST,1.796,1751
04017,THE FAR WEST,1.995,1215
04019,EL NORTE,1.429,9887
04021,EL NORTE,1.934,5244
04025,THE FAR WEST,1.656,1765
04027,EL NORTE,2.175,2859
05007,GREATER APPALACHIA,1.809,3884
05045,GREATER APPALACHIA,1.478,1477
05119,GREATER APPALACHIA,1.719,4857
05125,DEEP SOUTH,1.779,1403
05131,GREATER APPALACHIA,1.846,1580
05143,GREATER APPALACHIA,1.648,3294
06001,THE LEFT COAST,1.317,16441
06007,THE FAR WEST,1.431,2007
06013,THE LEFT COAST,1.533,11384
06017,THE FAR WEST,1.534,1528
06019,THE FAR WEST,1.888,13563
06023,THE LEFT COAST,1.282,1149
06025,EL NORTE,2.051,2344
06029,THE FAR WEST,1.905,12205
06031,THE FAR WEST,2.058,2095
06037,EL NORTE,1.307,93334
06039,THE FAR WEST,1.833,2122
06041,THE LEFT COAST,1.789,2193
06047,THE FAR WEST,1.854,3779
06053,THE LEFT COAST,1.916,5407
06055,THE LEFT COAST,1.466,1177
06059,EL NORTE,1.432,30653
06061,THE FAR WEST,1.586,3834
06065,EL NORTE,1.632,27177
06067,THE LEFT COAST,1.554,17855
06071,THE FAR WEST,1.63,25737
06073,EL NORTE,1.538,36629
06075,THE LEFT COAST,1.036,7082
06077,THE FAR WEST,1.793,9761
06079,EL NORTE,1.505,2415
06081,THE LEFT COAST,1.446,7343
06083,EL NORTE,1.862,5493
06085,THE LEFT COAST,1.376,18826
06087,THE LEFT COAST,1.364,2192
06089,THE FAR WEST,1.651,1788
06095,THE LEFT COAST,1.607,4766
06097,THE LEFT COAST,1.506,4439
06099,THE FAR WEST,1.837,6956
06107,THE FAR WEST,1.993,6668
06111,EL NORTE,1.592,8524
06113,THE LEFT COAST,1.242,1900
08001,THE FAR WEST,1.58,6332
08005,THE FAR WEST,1.601,7634
08013,THE FAR WEST,1.142,2428
08031,THE FAR WEST,1.377,8998
08035,THE FAR WEST,1.611,3890
08041,THE FAR WEST,1.668,9085
08059,THE FAR WEST,1.306,5443
08069,THE FAR WEST,1.164,3040
08077,THE FAR WEST,1.495,1468
08101,EL NORTE,1.591,1672
08123,THE FAR WEST,1.909,4799
10001,TIDEWATER,1.678,2109
10003,THE MIDLANDS,1.532,6052
10005,TIDEWATER,1.983,2401
11001,TIDEWATER,1.211,8061
12001,DEEP SOUTH,1.172,2588
12005,DEEP SOUTH,1.825,2149
12009,DEEP SOUTH,1.51,5260
12011,PART OF THE SPANISH CARIBBEAN,1.596,20468
12015,PART OF THE SPANISH CARIBBEAN,1.468,1097
12017,DEEP SOUTH,1.561,1034
12019,DEEP SOUTH,1.649,2272
12021,PART OF THE SPANISH CARIBBEAN,1.909,3410
12031,DEEP SOUTH,1.668,12692
12033,DEEP SOUTH,1.645,3693
12053,DEEP SOUTH,1.532,1713
12057,DEEP SOUTH,1.544,17099
12061,DEEP SOUTH,1.66,1234
12069,DEEP SOUTH,1.64,3749
12071,PART OF THE SPANISH CARIBBEAN,1.748,7655
12073,DEEP SOUTH,1.188,2743
12081,DEEP SOUTH,1.749,3896
12083,DEEP SOUTH,1.714,3672
12085,DEEP SOUTH,1.827,1289
12086,PART OF THE SPANISH CARIBBEAN,1.597,28887
12091,DEEP SOUTH,1.806,2611
12095,DEEP SOUTH,1.427,16372
12097,DEEP SOUTH,1.62,4941
12099,PART OF THE SPANISH CARIBBEAN,1.71,15005
12101,DEEP SOUTH,1.596,5771
12103,DEEP SOUTH,1.296,7217
12105,DEEP SOUTH,1.728,9068
12109,DEEP SOUTH,1.564,2512
12111,DEEP SOUTH,1.785,3679
12113,DEEP SOUTH,1.731,2009
12115,DEEP SOUTH,1.556,3013
12117,DEEP SOUTH,1.325,4489
12127,DEEP SOUTH,1.523,5007
13015,GREATER APPALACHIA,1.793,1382
13021,DEEP SOUTH,1.806,2021
13045,DEEP SOUTH,1.727,1585
13051,DEEP SOUTH,1.582,3639
13057,GREATER APPALACHIA,1.689,2983
13059,DEEP SOUTH,1.206,1331
13063,DEEP SOUTH,1.438,3330
13067,GREATER APPALACHIA,1.58,8828
13073,DEEP SOUTH,1.571,1691
13077,DEEP SOUTH,1.708,1692
13089,DEEP SOUTH,1.621,9727
13097,DEEP SOUTH,1.635,1686
13113,DEEP SOUTH,1.447,911
13117,GREATER APPALACHIA,1.551,2340
13121,DEEP SOUTH,1.408,12294
13135,GREATER APPALACHIA,1.658,11096
13139,GREATER APPALACHIA,2.025,2806
13151,DEEP SOUTH,1.638,2837
13153,DEEP SOUTH,1.668,1980
13185,DEEP SOUTH,1.642,1578
13215,DEEP SOUTH,1.77,2612
13223,GREATER APPALACHIA,1.514,1865
13245,DEEP SOUTH,1.775,2757
13313,GREATER APPALACHIA,1.848,1259
16001,THE FAR WEST,1.469,5118
16019,THE FAR WEST,2.086,1800
16027,THE FAR WEST,1.951,3410
16055,THE FAR WEST,1.791,1965
17019,GREATER APPALACHIA,1.296,1973
17031,YANKEEDOM,1.36,52006
17037,YANKEEDOM,1.423,1015
17043,YANKEEDOM,1.644,9638
17089,YANKEEDOM,1.749,5520
17091,THE MIDLANDS,1.663,1118
17093,THE MIDLANDS,1.667,1509
17097,YANKEEDOM,1.58,6628
17099,THE MIDLANDS,1.79,1092
17111,YANKEEDOM,1.663,3071
17113,GREATER APPALACHIA,1.381,1621
17115,GREATER APPALACHIA,1.781,1108
17119,GREATER APPALACHIA,1.578,2631
17143,THE MIDLANDS,1.764,2069
17161,THE MIDLANDS,1.76,1517
17163,GREATER APPALACHIA,1.59,2539
17167,GREATER APPALACHIA,1.63,1981
17179,GREATER APPALACHIA,1.703,1259
17197,THE MIDLANDS,1.588,6886
17201,YANKEEDOM,1.782,3184
18003,THE MIDLANDS,1.909,5198
18019,GREATER APPALACHIA,1.77,1471
18035,GREATER APPALACHIA,1.333,1073
18039,THE MIDLANDS,2.192,2887
18057,GREATER APPALACHIA,1.674,3961
18063,GREATER APPALACHIA,1.662,1877
18081,GREATER APPALACHIA,1.766,1921
18089,YANKEEDOM,1.662,5183
18091,YANKEEDOM,1.778,1098
18095,GREATER APPALACHIA,1.799,1432
18097,GREATER APPALACHIA,1.874,14287
18105,GREATER APPALACHIA,1.041,1031
18127,YANKEEDOM,1.48,1584
18141,THE MIDLANDS,1.683,3173
18157,GREATER APPALACHIA,1.37,1896
18163,GREATER APPALACHIA,1.731,2133
18167,GREATER APPALACHIA,1.501,1102
19013,THE MIDLANDS,1.761,1566
19103,THE MIDLANDS,1.472,1661
19113,THE MIDLANDS,1.693,2556
19153,THE MIDLANDS,1.776,6443
19163,THE MIDLANDS,1.705,1884
19193,THE MIDLANDS,2.084,1404
20045,THE MIDLANDS,1.131,990
20091,THE MIDLANDS,1.655,6895
20173,THE MIDLANDS,1.8,6547
20177,THE MIDLANDS,1.731,1911
20209,THE MIDLANDS,2.016,2338
21015,GREATER APPALACHIA,1.992,1709
21067,GREATER APPALACHIA,1.524,3701
21093,GREATER APPALACHIA,1.894,1324
21111,GREATER APPALACHIA,1.768,9618
21117,GREATER APPALACHIA,1.853,2174
21227,GREATER APPALACHIA,1.776,1840
22005,DEEP SOUTH,1.903,1645
22015,DEEP SOUTH,1.848,1591
22017,DEEP SOUTH,1.871,2739
22019,NEW FRANCE,1.891,2531
22033,NEW FRANCE,1.604,5450
22051,NEW FRANCE,1.877,5206
22055,NEW FRANCE,1.904,3346
22063,NEW FRANCE,1.858,1882
22071,NEW FRANCE,1.396,3950
22073,DEEP SOUTH,1.82,1966
22079,DEEP SOUTH,1.996,1589
22103,NEW FRANCE,1.79,2868
22105,DEEP SOUTH,1.983,1915
